run_id,run_idx,status,n_rows
2026-03-25_233351,1,ok,40
2026-03-25_234632,2,ok,40
2026-03-26_000011,3,ok,40
2026-03-26_001423,4,ok,40
2026-03-26_002740,5,ok,40
2026-03-26_004105,6,ok,40
2026-03-26_005425,7,ok,40
2026-03-26_010807,8,ok,40
2026-03-26_012132,9,ok,40
2026-03-26_013453,10,ok,40
2026-03-26_014805,11,ok,40
2026-03-26_020129,12,ok,40
2026-03-26_021526,13,ok,40
2026-03-26_022914,14,ok,40
2026-03-26_024427,15,ok,40
2026-03-26_030007,16,ok,40
2026-03-26_031537,17,ok,40
2026-03-26_032916,18,ok,40
2026-03-26_034307,19,ok,40
2026-03-26_035645,20,ok,40
2026-03-26_041031,21,ok,40
2026-03-26_042407,22,ok,40
2026-03-26_043754,23,ok,40
2026-03-26_045138,24,ok,40
2026-03-26_050528,25,ok,40
2026-03-26_051936,26,ok,40
2026-03-26_053317,27,ok,40
2026-03-26_054654,28,ok,40
2026-03-26_060024,29,ok,40
2026-03-26_061401,30,ok,40
