model_tag,DaL_R2_mean,DaL_R2_std,DaL_MRE_mean,DaL_MRE_std,RooflineLR_R2_mean,RooflineLR_R2_std,RooflineLR_MRE_mean,RooflineLR_MRE_std,ALA_R2_mean,ALA_R2_std,ALA_MRE_mean,ALA_MRE_std,DCPL_R2_mean,DCPL_MRE_mean,DCPL_R2_std,DCPL_MRE_std
EleutherAI_gpt-neox-20b,0.1739,0.0542,511.4232,74.8281,0.1789715055036447,0.0039993575425398,269.4679523282604,4.408893253814202,0.4838618069568269,0.0071312471770442,278.2683644964749,8.108573716879757,0.9289956577221894,58.94451588806065,0.00893031047222,3.833782310094232
Salesforce_codegen2-16B,0.1312,0.0479,880.869,274.002,0.2181238759440519,0.0189459642412707,1404.6999859378616,132.30560693189392,0.1989004499006707,0.0938851231050941,994.9860300610052,19.8486242141792,0.8828108358803354,171.6182559738409,0.0421029664724273,25.48106818946379
bigcode_starcoder,0.1291,0.1828,341.0549,47.8269,0.2000970995607847,0.0056833048657936,213.13340998951472,5.438006550261695,0.4837530323429044,0.0082339629540205,168.36738040601185,2.4283738130227093,0.92674530342587,32.025270940723054,0.0041798242211479,1.0107656204898414
bigscience_mt0-xxl,0.1058,0.0557,538.1292,133.3388,0.3010410651126182,0.0093174035663411,576.8413469511668,35.77811568220555,0.1474078471946863,0.1552992144540017,416.1645384828624,17.04991275701166,0.9258326613949645,59.81242733579404,0.0081861673873724,3.490776032735904
google_flan-t5-xl,0.135,0.0335,585.4424,105.7683,0.1404986958655757,0.0045357096472559,406.35210566539513,7.080286753322085,0.2809291493211311,0.1500369535673646,309.7042475554466,3.8613168185111864,0.9319425188959738,49.7085717764198,0.0091248483046363,1.92624068942589
google_flan-t5-xxl,0.1246,0.0599,698.4387,121.1419,0.1415422730046583,0.0073448336514598,432.8043025807935,7.29974612129237,0.2367752093384173,0.1507976094186877,385.078266782236,10.09806549758926,0.9317958245737954,58.19472903453536,0.0038651505381236,1.73296774257548
google_flan-ul2,0.1409,0.0365,535.6954,82.6413,0.2111810907739259,0.0067473525746577,251.41688768961876,4.697788880288156,0.4183980029865385,0.0122388826566273,274.8040897728931,6.298283849851267,0.940330864514952,47.5712678249599,0.0042398092764212,5.559835628072101
ibm_mpt-7b-instruct2,0.1086,0.0458,1119.0963,449.8417,0.1572036816288414,0.0170750075593275,780.1951220351586,30.892561205156177,0.2468259136945145,0.0315748246098364,985.187269384658,36.45312675310304,0.9315455261829078,126.43852456045204,0.0168314200471427,6.726589116720878
llama-13b,0.1593,0.0413,447.7111,67.1776,0.1870080803506902,0.0075972951063723,258.36433509398813,2.82533958953571,0.4605125617884198,0.0071686680091449,227.1051361271365,4.316167145178952,0.931605512071189,38.62103335398584,0.0027932609869354,1.84417678037573
llama-7b,0.1513,0.0264,378.0924,55.8723,0.1781576527452194,0.005001997164808,257.23652073599516,2.226049102650473,0.4474750556573407,0.0134183948693221,194.20167047960263,1.8745076773458151,0.9277881302465176,29.840929410438008,0.0024066319117805,0.6191490072325736
