baseline,metric,n,delta_mean,delta_std,win_rate,delta_pct_mean,delta_pct_std
DaL,MAE,10,63.594406564540975,24.83931774405083,1.0,33.17151306205115,5.759209339705141
lr,MAE,10,61.228829978217924,24.939186474279722,1.0,32.49718180026039,9.992908875420747
ridge,MAE,10,61.22504907627315,24.94231199425272,1.0,32.49545840644034,9.995393262333462
nn,MAE,10,27.23406217380013,12.978445428258414,1.0,18.010274635412063,8.080732293764031
LLM_Pilot,MAE,10,19.441497915382087,15.40245766562398,0.8,13.509382828687876,10.478769125992722
rf_light,MAE,10,3.3903877167085468,5.341955414554583,0.9,2.1177223120520656,2.576384386573896
DaL,MRE,10,319.5909302858941,301.47552195595074,1.0,55.826526296828185,14.00241510446004
lr,MRE,10,192.904019714983,114.38398247202718,0.9,50.160345970791276,22.953330381820845
ridge,MRE,10,192.84836407897652,114.43307415735592,0.9,50.15139926240308,22.970627184183012
LLM_Pilot,MRE,10,21.93120631580046,73.42323227746263,0.8,15.9559645156563,25.263061442281426
nn,MRE,10,-4.807515330415152,57.65448485827173,0.7,4.37716915165349,18.13615504901629
rf_light,MRE,10,-44.85622760468313,82.85758164418164,0.0,-19.4138728827696,27.980490231549496
DaL,R2,10,0.3521930181529841,0.07477716152539936,1.0,,0.0
lr,R2,10,0.2723276638115608,0.10972421354424756,1.0,,0.0
ridge,R2,10,0.2723265360527066,0.10972630506025792,1.0,,0.0
nn,R2,10,0.14478473280718318,0.08461307319672273,0.9,,0.0
LLM_Pilot,R2,10,0.09867862333495822,0.0900336286456266,0.8,,0.0
rf_light,R2,10,0.03447074488565031,0.04200519529471501,1.0,,0.0
DaL,RMSE,10,131.17735075199477,42.660712333938314,1.0,26.908264082139958,6.666127122766831
lr,RMSE,10,105.11507634105007,52.258311397439044,1.0,22.492648608749864,9.724054076049265
ridge,RMSE,10,105.11487992418668,52.25861641157563,1.0,22.492601670452125,9.724140030827284
nn,RMSE,10,59.96154465994057,38.63611655369556,0.9,14.400825698818414,8.686882426484866
LLM_Pilot,RMSE,10,43.65378178845076,39.59838858839828,0.8,10.744600646226736,9.230637816154953
rf_light,RMSE,10,14.506253247824887,20.340616299557833,1.0,3.224006973441564,3.047112580089929
