model_tag,base_best_R2,base_best_MAE,base_best_RMSE,base_best_MRE,dcpl_R2,dcpl_MAE,dcpl_RMSE,dcpl_MRE,ΔR2,ΔMAE,ΔRMSE,ΔMRE
data_EleutherAI_gpt-neox-20b,0.115,204.1043,549.531,165.4973,0.1153,209.6197,549.4504,176.2424,0.0003,-5.5154,0.0806,-10.7451
data_Salesforce_codegen2-16B,0.1675,120.8024,383.8667,276.535,0.1677,120.1618,383.8036,264.7814,0.0003,0.6406,0.0632,11.7536
data_bigcode_starcoder,0.1114,220.4172,567.0102,172.0224,0.1116,220.4319,566.9431,168.8678,0.0002,-0.0147,0.0671,3.1546
data_bigscience_mt0-xxl,0.1834,200.9645,465.7843,150.6288,0.1787,200.069,467.12,148.606,-0.0047,0.8954,-1.3358,2.0228
data_google_flan-t5-xl,0.1184,144.5941,404.414,171.2504,0.1163,148.0735,404.8989,187.3526,-0.0021,-3.4794,-0.485,-16.1022
data_google_flan-t5-xxl,0.1274,135.6982,377.9246,186.8171,0.1274,139.2006,377.9253,194.4647,-0.0,-3.5024,-0.0007,-7.6476
data_google_flan-ul2,0.1067,125.7187,339.5869,187.2992,0.1073,124.5751,339.4871,184.7762,0.0005,1.1436,0.0999,2.523
data_ibm_mpt-7b-instruct2,0.19,249.5939,694.0244,194.5472,0.1906,248.3689,693.7696,184.8678,0.0006,1.225,0.2548,9.6795
data_llama-13b,0.1184,223.1184,608.9657,168.9034,0.1181,222.2314,609.0678,162.9655,-0.0003,0.887,-0.1022,5.9379
data_llama-7b,0.1131,273.0459,758.38,168.5705,0.1133,276.2328,758.2961,164.2302,0.0002,-3.187,0.0839,4.3403
