model_tag,lr,ridge,rf_light,nn,llm_pilot,dcpl_gate=ridge
data_EleutherAI_gpt-neox-20b,439.4304,439.4228,176.7804,165.4973,462.6393,176.2424
data_Salesforce_codegen2-16B,1228.6312,1228.3128,276.535,304.1568,1946.785,264.7814
data_bigcode_starcoder,290.3896,290.3881,172.0224,183.5023,340.448,168.8678
data_bigscience_mt0-xxl,507.4973,507.4297,158.9932,150.6288,746.063,148.606
data_google_flan-t5-xl,463.1908,463.1863,187.5233,171.2504,689.6614,187.3526
data_google_flan-t5-xxl,569.3855,569.3763,189.3515,186.8171,820.2815,194.4647
data_google_flan-ul2,424.8363,424.8209,187.2992,205.5691,657.0933,184.7762
data_ibm_mpt-7b-instruct2,1191.2872,1191.1808,194.5472,213.1052,1709.259,184.8678
data_llama-13b,355.5621,355.5598,168.9034,180.0135,437.3915,162.9655
data_llama-7b,332.973,332.9717,168.5705,172.1853,422.5062,164.2302
